name,position,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td,tgt,rec_yds,rec_td,snap_pct,rec,age,fumbles,games_played,yards_per_attempt_qb,yards_per_attempt_rb,yards_per_reception_wr
Saquon Barkley,RB,293,385,0,0,0,0,0,0.0,0,217,1003,6,73,438,2,0.0,0,22.272538461538463,0,13,0.0,4.4569230769230765,0.0
Alvin Kamara,RB,391,307,0,0,0,0,0,0.0,0,171,797,5,97,533,1,0.0,0,24.102428571428568,1,14,0.0,4.785714285714286,0.0
Christian McCaffrey,RB,340,470,0,0,0,0,0,0.0,0,287,1387,15,142,1005,4,0.0,0,23.1496875,0,16,0.0,4.804375,0.0
Ezekiel Elliott,RB,434,321,0,0,0,0,0,0.0,0,301,1357,12,71,420,2,0.0,0,24.104125,2,16,0.0,4.51,0.0
James Conner,RB,177,199,0,0,0,0,0,0.0,0,116,464,4,38,251,3,0.0,0,24.168599999999998,1,10,0.0,3.7979999999999996,0.0
DeAndre Hopkins,WR,364,350,0,0,0,0,0,0.0,0,0,0,0,150,1165,7,0.968,104,27.1456,0,15,0.0,0.0,11.272666666666668
Le'Veon Bell,RB,254,338,0,0,0,0,0,0.0,0,245,789,3,78,461,1,0.0,0,27.257933333333334,1,15,0.0,3.2406666666666673,0.0
Nick Chubb,RB,335,393,0,0,0,0,0,0.0,0,298,1494,8,49,278,0,0.0,0,23.3515,3,16,0.0,5.011875,0.0
Davante Adams,WR,246,219,0,0,0,0,0,0.0,0,0,0,0,127,997,5,0.8458333333333335,83,26.371166666666664,1,12,0.0,0.0,11.90333333333333
Dalvin Cook,RB,378,259,0,0,0,0,0,0.0,0,250,1135,13,63,519,0,0.0,0,24.075857142857142,2,14,0.0,4.306428571428571,0.0
Julio Jones,WR,363,373,0,0,0,0,0,0.0,0,0,0,0,157,1394,6,0.7586666666666668,99,30.266133333333332,0,15,0.0,0.0,14.66133333333333
Todd Gurley,RB,387,344,0,0,0,0,0,0.0,0,223,857,12,49,207,2,0.0,0,25.093200000000003,2,15,0.0,3.8466666666666667,0.0
Tyreek Hill,WR,343,221,0,0,0,0,0,0.0,0,0,0,0,89,860,7,0.7174999999999999,58,25.25791666666667,0,12,0.0,0.0,13.61
Michael Thomas,WR,458,341,0,0,0,0,0,0.0,0,0,0,0,185,1725,9,0.8831249999999999,149,26.2449375,0,16,0.0,0.0,11.403125
David Johnson,RB,277,316,0,0,0,0,0,0.0,0,94,345,2,47,370,4,0.0,0,27.367916666666662,1,12,0.0,3.143333333333333,0.0
Odell Beckham Jr,WR,335,393,0,0,0,0,0,0.0,0,0,0,0,133,1035,4,0.953125,74,26.6813125,1,16,0.0,0.0,14.390625
JuJu Smith-Schuster,WR,220,246,0,0,0,0,0,0.0,0,0,0,0,70,552,3,0.7741666666666668,42,22.44241666666667,1,12,0.0,0.0,12.050833333333335
Patrick Mahomes,QB,401,254,319,484,4031,26,5,104.84285714285713,17,43,218,2,0,0,0,0.0,0,23.955142857142857,2,14,8.168571428571427,0.0,0.0
Joe Mixon,RB,279,420,0,0,0,0,0,0.0,0,278,1137,5,45,287,3,0.0,0,23.1020625,0,16,0.0,3.6381249999999996,0.0
Travis Kelce,TE,451,308,0,0,0,0,0,0.0,0,0,0,0,136,1229,5,0.9199999999999999,97,29.8688125,1,16,0.0,0.0,13.428125000000001
Leonard Fournette,RB,262,377,0,0,0,0,0,0.0,0,265,1152,3,100,522,0,0.0,0,24.284600000000005,1,15,0.0,4.087999999999999,0.0
Mike Evans,WR,378,381,0,0,0,0,0,0.0,0,0,0,0,118,1157,8,0.8492307692307695,67,26.06353846153846,0,13,0.0,0.0,18.724615384615387
Chris Carson,RB,384,372,0,0,0,0,0,0.0,0,278,1230,7,47,266,2,0.0,0,24.958599999999997,4,15,0.0,4.388000000000001,0.0
Antonio Brown,WR,43,0,0,0,0,0,0,0.0,0,0,0,0,8,56,1,0.34,4,31.067,0,1,0.0,0.0,14.0
Damien Williams,RB,298,222,0,0,0,0,0,0.0,0,111,498,5,37,213,2,0.0,0,27.20936363636363,1,11,0.0,4.284545454545455,0.0
Aaron Jones,RB,376,313,0,0,0,0,0,0.0,0,236,1084,16,68,474,3,0.0,0,24.493625,2,16,0.0,4.327500000000001,0.0
Adam Thielen,WR,264,182,0,0,0,0,0,0.0,0,0,0,0,48,418,6,0.7,30,29.0577,0,10,0.0,0.0,11.273
Keenan Allen,WR,337,345,0,0,0,0,0,0.0,0,0,0,0,149,1199,6,0.8787499999999999,104,27.1885625,0,16,0.0,0.0,11.754999999999999
Josh Jacobs,RB,253,344,0,0,0,0,0,0.0,0,242,1150,7,27,166,0,0.0,0,21.255692307692307,1,13,0.0,4.835384615384615,0.0
Kerryon Johnson,RB,186,210,0,0,0,0,0,0.0,0,113,403,3,15,127,1,0.0,0,22.112125,1,8,0.0,3.66625,0.0
David Montgomery,RB,280,298,0,0,0,0,0,0.0,0,242,889,6,35,185,1,0.0,0,22.1498125,2,16,0.0,3.4837499999999997,0.0
George Kittle,TE,419,257,0,0,0,0,0,0.0,0,0,0,0,107,1053,5,0.8857142857142855,85,25.844357142857145,0,14,0.0,0.0,12.752857142857142
Devonta Freeman,RB,330,361,0,0,0,0,0,0.0,0,184,656,2,70,410,4,0.0,0,27.230285714285714,2,14,0.0,3.3978571428571422,0.0
Sony Michel,RB,420,225,0,0,0,0,0,0.0,0,247,912,7,20,94,0,0.0,0,24.258375,1,16,0.0,3.540625,0.0
Amari Cooper,WR,434,321,0,0,0,0,0,0.0,0,0,0,0,119,1189,8,0.763125,79,25.139125,0,16,0.0,0.0,13.51125
Derrick Henry,RB,374,293,0,0,0,0,0,0.0,0,303,1540,16,24,206,2,0.0,0,25.2986,3,15,0.0,4.950666666666666,0.0
Stefon Diggs,WR,388,282,0,0,0,0,0,0.0,0,0,0,0,94,1130,6,0.7953333333333332,63,25.503133333333334,3,15,0.0,0.0,18.09533333333333
Zach Ertz,TE,351,337,0,0,0,0,0,0.0,0,0,0,0,135,916,6,0.8513333333333334,88,28.607666666666667,1,15,0.0,0.0,11.050666666666666
Mark Ingram,RB,503,272,0,0,0,0,0,0.0,0,202,1018,10,29,247,5,0.0,0,29.35593333333333,2,15,0.0,5.086666666666665,0.0
Brandin Cooks,WR,365,340,0,0,0,0,0,0.0,0,0,0,0,72,583,2,0.7128571428571429,42,25.901214285714282,0,14,0.0,0.0,13.02357142857143
Marlon Mack,RB,327,322,0,0,0,0,0,0.0,0,247,1091,8,17,82,0,0.0,0,23.23907142857143,0,14,0.0,4.308571428571429,0.0
Deshaun Watson,QB,364,350,333,495,3852,26,12,98.39333333333333,44,82,413,7,0,0,0,0.0,0,24.003266666666665,3,15,7.884,0.0,0.0
Tyler Lockett,WR,405,398,0,0,0,0,0,0.0,0,0,0,0,110,1057,8,0.895625,82,26.916,0,16,0.0,0.0,14.9925
Chris Godwin,WR,416,398,0,0,0,0,0,0.0,0,0,0,0,120,1333,9,0.9235714285714286,86,23.242285714285714,0,14,0.0,0.0,15.490714285714285
Robert Woods,WR,377,357,0,0,0,0,0,0.0,0,0,0,0,139,1134,2,0.9333333333333332,90,27.20586666666667,0,15,0.0,0.0,12.014666666666667
Julian Edelman,WR,420,225,0,0,0,0,0,0.0,0,0,0,0,153,1117,6,0.873125,100,33.164375,1,16,0.0,0.0,10.8725
Phillip Lindsay,RB,282,316,0,0,0,0,0,0.0,0,224,1011,7,48,196,0,0.0,0,25.1014375,0,16,0.0,4.67625,0.0
Tevin Coleman,RB,414,273,0,0,0,0,0,0.0,0,137,544,6,30,180,1,0.0,0,26.209857142857146,0,14,0.0,4.151428571428572,0.0
Cooper Kupp,WR,394,364,0,0,0,0,0,0.0,0,0,0,0,134,1161,10,0.8056249999999999,94,26.1408125,0,16,0.0,0.0,11.53125
Miles Sanders,RB,385,354,0,0,0,0,0,0.0,0,179,818,3,63,509,3,0.0,0,22.1854375,1,16,0.0,5.279375,0.0
Josh Gordon,WR,313,163,0,0,0,0,0,0.0,0,0,0,0,47,426,1,0.5845454545454546,27,28.194999999999997,0,11,0.0,0.0,17.299090909090907
T.Y. Hilton,WR,216,218,0,0,0,0,0,0.0,0,0,0,0,68,501,5,0.716,45,29.605,0,10,0.0,0.0,12.326
Aaron Rodgers,QB,376,313,353,569,4002,26,4,95.68125,36,46,183,1,0,0,0,0.0,0,35.493624999999994,4,16,7.115,0.0,0.0
Kenny Golladay,WR,341,423,0,0,0,0,0,0.0,0,0,0,0,116,1190,11,0.861875,65,25.7238125,1,16,0.0,0.0,19.55125
O.J. Howard,TE,359,340,0,0,0,0,0,0.0,0,0,0,0,53,459,1,0.785,34,24.61566666666667,1,12,0.0,0.0,12.294166666666667
Mike Williams,WR,307,335,0,0,0,0,0,0.0,0,0,0,0,90,1001,2,0.8493333333333335,49,24.9038,0,15,0.0,0.0,21.986666666666668
Austin Ekeler,RB,337,345,0,0,0,0,0,0.0,0,132,557,3,108,993,8,0.0,0,24.1685625,2,16,0.0,3.896875,0.0
Duke Johnson,RB,378,385,0,0,0,0,0,0.0,0,83,410,2,62,410,3,0.0,0,25.9213125,1,16,0.0,4.331875,0.0
Baker Mayfield,QB,335,393,317,534,3827,22,21,76.88125,40,28,141,3,0,0,0,0.0,0,24.203812499999998,2,16,7.22375,0.0,0.0
Calvin Ridley,WR,300,343,0,0,0,0,0,0.0,0,0,0,0,93,866,7,0.7515384615384614,63,24.30646153846154,0,13,0.0,0.0,12.950769230769229
